Date,Open,High,Low,Close,Tick_Vol
4/20/2025,3331.88,3499.92,3259.81,3315.58,1329783
4/27/2025,3323.96,3352.82,3201.86,3236.38,1254071
5/4/2025,3237.65,3436.97,3236.49,3322.37,1304116
5/11/2025,3285.49,3291.54,3120.42,3201.16,1313550
5/18/2025,3215.48,3365.77,3204.24,3355.82,1194425
5/25/2025,3354.94,3356.54,3245.19,3288.34,1068819
6/1/2025,3298.24,3403.46,3295.22,3309.83,1182423
6/8/2025,3310.53,3446.75,3293.46,3431.88,1159543
6/15/2025,3432.15,3451.21,3340.27,3367.93,964993
6/22/2025,3388.17,3396.48,3255.65,3269.95,986698
